pdb_path,combined_metric
Shc1-PTB_1OY2_0061_trka_0007.pdb,-1.99614261541603
Shc1-PTB_1OY2_0061_trka_0124.pdb,-1.99509824002845
Shc1-PTB_1OY2_0061_trka_0288.pdb,-1.99474568327878
Shc1-PTB_1OY2_0061_trka_0105.pdb,-1.9947197444257
Shc1-PTB_1OY2_0061_trka_0200.pdb,-1.99471182424018
Shc1-PTB_1OY2_0061_trka_0183.pdb,-1.99402069104016
Shc1-PTB_1OY2_0061_trka_0003.pdb,-1.99364498886497
Shc1-PTB_1OY2_0061_trka_0172.pdb,-1.9936229391298
Shc1-PTB_1OY2_0061_trka_0156.pdb,-1.992658146942
Shc1-PTB_1OY2_0061_trka_0236.pdb,-1.99224866088483
